0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40530,10344,1404,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46855,15740,3130,554,51,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51574,20544,5372,1326,191,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0
55598,24950,7910,2669,654,154,32,3,0,0,0,0,0,0,0,0,0,0,0,0
60465,28658,10668,4377,1272,364,43,12,1,0,0,0,0,0,0,0,0,0,0,0
64957,32966,14022,6402,2302,636,87,38,0,0,0,0,0,0,0,0,0,0,0,0
67416,36524,16639,8472,3414,973,179,49,4,0,0,0,0,0,0,0,0,0,0,0
71724,40467,19980,11047,5055,1547,359,90,1,0,0,0,0,0,0,0,0,0,0,0
76130,44248,23097,13865,6901,2250,555,163,11,0,0,0,0,0,0,0,0,0,0,0
78975,47105,25789,16822,8970,3377,737,242,41,2,0,0,0,0,0,0,0,0,0,0
83068,51925,29270,20391,11755,4851,1262,281,41,6,0,0,0,0,0,0,0,0,0,0
87589,56525,32962,23989,15214,6985,1881,457,80,8,0,0,0,0,0,0,0,0,0,0
92340,60972,36570,27994,18985,9545,3009,786,152,32,5,0,0,0,0,0,0,0,0,0
97932,65599,40387,31832,23427,12894,4565,1114,234,53,12,1,0,0,0,0,0,0,0,0
102652,69678,43642,35638,28721,16910,6099,1621,313,73,12,1,0,0,0,0,0,0,0,0
106673,73482,46811,39466,33946,21377,8113,2218,416,90,25,3,0,0,0,0,0,0,0,0
111037,75612,50063,43989,39978,27170,10730,3003,625,177,40,6,0,0,0,0,0,0,0,0
113014,78187,52686,47823,46178,33408,13507,4110,874,246,56,19,2,0,0,0,0,0,0,0
116045,80996,55868,51783,52532,40335,17175,5469,1257,343,86,25,6,0,0,0,0,0,0,0
118345,84017,58345,55359,59429,48220,22131,7043,1757,405,131,24,4,0,0,0,0,0,0,0
119546,86669,61108,59047,66688,56430,27313,8833,2293,587,166,26,4,0,0,0,0,0,0,0
120262,87688,63681,62457,73305,66042,32891,11599,3082,727,218,39,9,0,0,0,0,0,0,0
120040,88922,65517,65627,79210,75491,39721,14186,3812,899,309,56,18,2,0,0,0,0,0,0
120174,89283,67157,69062,85910,85489,46720,17306,4815,1135,399,119,26,4,1,0,0,0,0,0
118330,89374,67717,71469,90770,93994,53147,21338,5849,1407,403,125,34,3,0,0,0,0,0,0
116770,89117,69125,73886,97211,105516,61366,25505,7429,1913,455,155,37,5,0,0,0,0,0,0
114381,87911,69578,75797,103464,114826,69972,29786,9153,2438,565,198,44,7,0,0,0,0,0,0
111297,86733,69741,77890,109421,125120,78644,34046,10639,2930,687,196,39,16,1,0,0,0,0,0
107951,85160,69456,79605,114552,135785,87297,38378,12348,3493,818,273,29,13,1,1,0,0,0,0
103091,82824,69131,80374,118151,145357,95902,42681,14440,4044,960,326,55,9,5,0,0,0,0,0
99896,80990,68579,82196,122303,155790,104526,47849,16346,4641,1255,358,63,23,5,0,0,0,0,0
96025,78474,67838,82493,124764,162721,111970,52725,18622,5439,1538,494,111,35,1,0,0,0,0,0
93068,75867,67269,83159,128330,170844,119549,57596,20889,6402,1718,638,142,50,9,0,0,0,0,0
88308,73460,66099,82737,130469,177494,127144,62513,22860,7168,2067,703,152,26,10,0,0,0,0,0
84894,70713,64680,83057,132038,183750,135204,67084,25597,8220,2352,770,166,34,11,0,0,0,0,0
80722,68962,64340,82918,134123,190681,142190,72775,27806,9271,2704,783,204,47,12,2,0,0,0,0
76415,66175,63794,83246,137324,197037,148922,78080,31022,10314,2973,923,224,73,8,0,0,0,0,0
73214,63275,62467,83542,139272,202030,155142,82850,33596,11326,3370,1037,278,117,14,0,0,0,0,0
70104,60751,60713,82207,140190,206283,162266,87876,36229,12433,3730,1166,355,108,18,1,0,0,0,0
66186,58712,59753,81422,140780,209499,167917,92141,39057,13508,4048,1256,390,130,33,4,4,0,0,0
63477,57303,58781,80800,140985,213254,174924,97329,41705,14960,4518,1342,464,157,46,5,0,0,0,0
60565,54716,57308,79644,140695,216243,178017,100873,44116,16023,5096,1449,531,170,48,15,1,0,0,0
58085,53564,55851,79784,140890,218770,183066,104483,45937,17568,5775,1660,529,165,64,9,0,0,0,0
55216,51523,54760,80116,140161,220151,185814,107292,49079,19204,6510,1927,616,207,59,15,0,0,0,0
52972,49513,53718,80710,140534,223253,189752,110641,52574,20675,7002,2220,634,200,66,16,0,0,0,0
50654,47627,52778,79618,140773,224751,190583,114466,54956,21843,7702,2417,730,185,73,22,2,0,0,0
48034,46050,51230,78095,140058,225398,194724,118188,57518,23147,8178,2578,741,231,65,22,13,0,0,0
46197,44385,50604,76976,139804,226353,197856,121992,59874,25082,8640,2912,781,258,74,10,21,1,0,0
44351,42677,49770,76378,139083,226674,201272,125457,61947,26073,9335,2935,826,275,84,9,22,2,0,0
42311,41703,48882,75070,139874,226852,203826,129605,64953,27366,9794,3126,910,309,90,16,23,0,0,0
40623,40874,47807,74437,138889,228042,207007,132718,67055,28828,10550,3391,996,368,101,26,15,3,0,0
39154,39523,47164,73999,138549,228492,207999,134177,69629,30418,11262,3631,1065,414,123,33,10,8,0,0
37712,38471,45978,73750,138227,229934,211101,136990,71392,31581,11953,3902,1153,411,176,73,7,9,0,0
36483,37099,44867,72464,136556,228425,210959,140038,73248,32669,12320,3979,1239,422,179,102,13,17,1,0
35319,36048,44305,71867,135665,228981,212304,141458,75692,34332,12902,4219,1339,391,203,110,8,17,0,0
34023,34924,43362,71170,134531,227427,213597,142508,77324,35147,13943,4599,1559,395,209,76,9,7,0,0
33107,33508,43185,71211,134264,226529,214782,146703,79524,35919,14341,5106,1690,475,242,56,12,16,0,0
32432,32624,42950,70155,134023,227800,214996,148997,80544,37105,15140,5129,1847,539,240,82,22,24,1,0
31248,31478,41523,68966,133089,225271,215488,149568,81774,38059,16016,5576,1895,500,229,92,18,10,0,0
30231,30538,41474,69503,134472,226398,215750,151613,84406,39192,16295,6097,2061,569,207,108,28,16,2,0
28942,29354,40874,68927,132507,224411,216434,153442,85078,40376,16943,6243,2244,649,218,131,16,11,0,0
27985,29377,40573,69625,131916,224346,217619,155049,87532,41758,17268,6652,2401,694,226,104,18,7,0,0
26784,28945,39920,68732,131804,223437,217333,155331,88702,43142,17678,6981,2578,735,230,117,11,10,0,0
25959,28378,39005,67947,130469,221694,217037,156312,89795,43881,18641,7361,2504,836,253,121,18,7,2,0
25092,27802,38257,68321,130566,221560,217186,157116,91771,45246,19304,7442,2670,896,231,108,23,7,2,0
24472,27233,37634,67786,129635,220184,216744,159574,93174,46017,19966,7885,2785,1004,255,103,29,20,0,0
23807,26295,37490,66612,129959,219101,216567,160416,94508,47179,20671,8364,2962,1011,297,100,26,15,0,0
22857,26067,37716,66217,128858,218069,216628,162092,96363,48022,21465,8871,3026,1162,290,118,28,18,3,0
22574,25664,36412,65393,127344,215811,215916,162196,97655,48698,22231,8866,3247,1177,298,115,29,12,2,0
22250,25398,36085,66288,126804,214973,216922,162820,98974,49796,23164,9420,3326,1300,313,77,42,16,2,0
21561,25285,35882,65986,126310,213689,217144,163709,100638,51026,23591,9618,3420,1349,362,73,58,19,0,0
21271,24745,35406,64099,125797,212713,215268,164864,100886,51695,24046,9777,3550,1390,352,103,47,31,0,0
20811,24447,35664,63853,124353,211765,215919,165709,101487,52767,24753,10245,3577,1393,356,122,60,17,2,0
20676,24142,35720,63336,123882,212190,216032,166575,102340,54059,25419,10925,3833,1398,368,155,42,17,1,0
20281,23691,35441,62509,122866,210491,214617,167301,102903,54592,26142,11334,4051,1521,431,148,37,31,3,0
19853,23199,35486,62425,123043,209416,214750,167671,104546,56099,26191,11529,4290,1618,424,138,47,24,1,0
19399,23228,35031,62194,122060,207975,214566,167820,104678,57934,27020,11698,4516,1659,471,153,51,17,0,0
19177,22839,35269,61770,122093,207008,214371,168929,105833,58583,27659,11928,4859,1628,495,161,60,28,0,0
19159,22443,35162,61714,120594,205623,213676,168723,106823,59279,28363,12024,5025,1707,532,166,95,37,5,0
18675,22407,34273,61471,120933,205296,213783,168960,107183,60245,29117,12372,5071,1775,600,143,99,30,7,0
18138,22157,33965,61531,120099,204215,212771,168609,108270,60389,29972,12662,5284,1817,651,181,86,18,5,0
17552,22051,33653,61100,119549,203224,213375,167198,107853,61108,29973,12943,5452,2096,703,223,80,28,9,0
17474,21343,33291,60610,119378,202885,212701,166876,108898,61852,30778,13562,5731,2237,750,217,59,31,7,0
17235,21263,33032,60397,119235,201971,212541,166719,109030,62839,31886,13828,5917,2280,773,261,67,19,7,0
17180,21010,32630,59934,118348,201727,211503,165996,110417,63361,32317,14223,6161,2504,771,220,39,8,11,0
17041,21101,32519,59902,118731,201193,211412,167541,112503,64174,32693,14464,6323,2527,809,251,53,20,3,0
16863,21233,32082,59399,118361,200513,209414,167012,112522,64077,32830,14931,6354,2508,875,269,28,28,1,0
16409,21248,32097,58627,118920,199399,209846,167637,113344,64784,33983,15653,6390,2567,907,256,32,28,3,0
16015,20749,31882,58549,117196,197141,208364,167034,113049,65011,34383,16082,6473,2761,871,286,54,17,3,0
15979,20550,31456,58897,116440,196539,208063,167635,113833,65729,34718,16647,6439,2812,941,280,42,16,3,1
15700,20954,30998,59370,116742,196180,209276,168147,114019,66977,35156,16981,6759,2938,933,317,63,8,2,0
15776,20237,30811,59229,115801,195637,207223,169276,114304,66751,34909,17081,6863,2884,1017,341,87,12,1,0
15502,20009,30981,59019,114393,194701,206664,168375,114261,68198,35672,17359,7005,2935,994,373,107,20,2,0
15589,19889,30944,58252,114664,193817,206061,168368,113812,68996,36393,17403,7403,2882,1017,416,104,13,7,0
15383,19944,30992,58099,114597,194450,205330,169336,115737,69637,37075,17711,7200,3001,1069,436,105,12,6,0
15600,19670,31185,57109,113888,193703,206414,168842,115926,69894,37149,17642,7447,3074,1173,454,92,26,2,0
15639,19459,31008,56748,113760,192114,207387,168835,117160,69986,37879,18082,7544,3225,1237,537,139,30,1,0
15506,19378,30826,56334,113695,192546,206564,167991,116997,71237,38050,18068,8068,3225,1294,464,156,28,3,0
15196,19048,30653,56129,111284,192379,205665,169176,116698,72063,38526,18426,7915,3355,1315,524,149,26,3,0
15253,19380,30532,56075,112336,192220,206118,169414,117764,72449,39083,18995,8371,3567,1314,531,165,26,7,0
15199,19248,30649,55459,111277,190799,203458,168562,117597,71431,39259,19495,8560,3455,1325,516,176,24,11,0
14847,18887,30587,55261,111877,189429,203530,168491,118352,71448,39737,19765,8807,3689,1308,469,193,41,12,0
14548,18793,30092,55145,111171,188252,203332,167440,119012,71608,39851,19977,9036,3617,1332,558,165,64,25,2
14434,18713,29956,55562,110332,187866,203156,166372,119762,72122,40189,20218,9402,3712,1483,589,212,58,22,0
14658,18410,30265,55021,111048,186443,202879,166934,119565,72624,40703,20525,9302,3849,1580,572,216,77,36,3
14586,18135,30140,55033,110582,185356,201962,166676,119547,73334,40198,21038,9396,3952,1594,554,211,71,39,6
14645,17915,29999,54562,109583,186029,201988,167335,119327,73686,40603,21087,10019,4017,1711,559,218,80,36,11
14260,17982,29805,54791,109187,184659,200715,167448,119516,74014,40836,21362,10030,4254,1695,537,234,73,26,6
14285,17734,29158,54785,108811,184895,200159,167924,119941,74322,41552,21682,10112,4303,1740,605,297,93,20,2
14245,17637,29083,54972,108391,184856,199211,168575,121049,75564,42593,21735,10402,4490,1762,655,308,84,33,5
14110,17673,29027,54553,107243,184040,198388,167597,121201,76000,43013,21656,10608,4608,1760,664,316,74,37,12
14242,17354,28697,54573,107049,184364,198476,168341,121546,76845,43227,21757,10863,4499,1738,707,315,64,37,6
14344,17146,28802,54283,106438,182147,198001,167593,121313,77338,43447,21960,10822,4807,1865,660,314,85,31,4
14404,17291,28626,54347,106114,182481,198732,168272,121754,78077,43887,22255,10856,4852,2069,712,330,83,37,11
14226,17454,28228,54111,106341,181383,198123,167422,122709,78433,43824,22303,10825,5113,2044,748,305,83,24,1
14016,17239,28353,53624,105706,180316,197851,167362,122834,78117,44528,22500,10789,5197,2048,770,378,113,13,6
13770,17174,28201,53867,105318,178633,197386,168460,122702,78549,45101,22715,11017,5165,2121,791,361,130,29,0
13765,17315,27618,53475,105730,179374,196717,168000,123001,79140,45481,22571,11320,5419,2066,835,341,104,26,2
13642,17187,27302,53954,106017,179578,196952,167724,123734,79427,45256,22864,11618,5328,2069,960,321,95,40,2
13242,16930,27422,53138,105856,177670,197426,167237,123489,79248,45331,23297,11613,5255,1978,963,356,86,33,0
13271,16931,27206,53008,105696,176550,196284,168091,122885,79700,45596,23702,11712,5172,2060,944,376,89,37,0
13061,17087,27634,53399,104891,178150,196672,168627,122624,80440,46165,23824,11879,5228,2117,965,375,111,37,4
13235,16639,27677,53372,104252,176486,195610,169361,121985,80508,46896,23570,12098,5202,2283,916,332,140,53,5
13208,16608,27425,53183,104621,175823,195216,169194,122230,81661,46708,23982,12192,5303,2232,944,398,157,51,4
13246,16400,27602,52582,103791,175878,192444,167960,122057,82039,46658,24347,12079,5437,2179,905,411,172,38,5
13372,16716,27884,53272,106017,177497,194743,169458,124278,83581,47563,24910,12403,5709,2318,967,488,153,38,3
13475,16401,28307,53125,105937,177256,194082,169462,125322,82823,47814,24947,12617,5813,2326,873,505,167,47,1
13143,16288,28611,53501,104932,174640,192143,168765,124913,82455,47681,25254,12678,5858,2347,988,494,162,24,3
13142,16658,28906,53516,105340,173426,192340,169152,124669,83093,48247,26134,12678,5905,2534,963,506,151,30,10
13297,16819,28606,53653,105186,172119,191601,167768,124487,82650,48612,26381,13080,5900,2641,1035,474,217,35,19
13280,16466,27990,53339,104341,172352,188644,166106,124823,81926,47848,26529,13084,6027,2767,973,486,211,38,20
13103,16627,28307,53488,104227,172141,188903,166938,124268,83023,47890,26637,13151,6196,2739,1042,471,203,47,19
13249,16544,28125,53953,103463,171114,188692,166472,123194,83402,48429,26969,13093,6374,2834,1178,396,215,56,18
13096,16506,28624,53859,102646,171626,189661,166899,124193,83355,48354,27303,13172,6387,2842,1294,437,245,70,11
13129,16434,28726,53686,102615,170178,188539,166378,124341,83626,48879,27387,13173,6257,2917,1426,473,255,50,11
13196,16510,28597,54032,101937,169352,189589,166391,124006,82868,49293,27248,13522,6450,2876,1340,510,247,49,17
13186,16676,28875,53902,101769,169175,188219,167187,123631,83148,49610,27386,13656,6524,2829,1256,553,225,51,12
13089,16616,28926,53460,101961,168932,187590,167427,123734,83161,49245,28301,13402,6606,2865,1315,563,236,61,10
13110,16320,28930,53175,101938,168524,187201,166426,124444,83735,49335,28338,13658,6574,2884,1378,589,225,63,3
12873,16556,28451,52976,101871,167720,185229,165414,124440,83404,49564,28400,13906,6589,2804,1362,498,274,59,10
