Time,Population,GeneTickets,SocialTickets,LearningTickets
0,302.40909090909093,0.22002580742156105,0.16381918676111215,0.19757383150703828
1,369.75,0.305530285827045,0.23341956091861046,0.2608859759639019
2,421.95454545454544,0.37428875055859456,0.2753471880102586,0.30863005752601524
3,468.0681818181818,0.450853276610513,0.3080962715161875,0.3717439755515662
4,510.3863636363636,0.516446507312592,0.3610033516225047,0.440709741730976
5,554.4772727272727,0.5851342250358322,0.3859104002252444,0.44799423960358725
6,601.6363636363636,0.6519509732146995,0.4369194977623691,0.48524876712512166
7,650.8409090909091,0.7045252415554112,0.4685201484927369,0.5398978721389488
8,694.5681818181819,0.7594201861572778,0.5167503221725164,0.5691044643508422
9,743.4545454545455,0.8130609771578746,0.5414552874149267,0.6211935598029856
10,798.9318181818181,0.8712585211574548,0.5936184546794142,0.623379646713526
11,854.3636363636364,0.9266810018972129,0.6137229510658402,0.6365855239149137
12,916.6590909090909,0.9892984241849365,0.6111264498290192,0.6441946664508035
13,976.5454545454545,1.0394532681355835,0.6317199515553942,0.6625968870451314
14,1041.8863636363637,1.105191081613301,0.6559966632632298,0.6738622485163025
15,1096.3636363636363,1.1600002782092071,0.6701116261288598,0.6793082700100483
16,1157.2045454545455,1.2185977912864905,0.6905413927768863,0.7040165802840211
17,1218.7045454545455,1.2722768735412227,0.7110655382146481,0.7249240401060127
18,1291.1136363636363,1.345197124271049,0.7228463794547101,0.7370324110581369
19,1353.2272727272727,1.4069510539497554,0.7278391034454618,0.7667657427435827
20,1431.2954545454545,1.4748819948749814,0.7423149200757219,0.7631579170161021
21,1500.4318181818182,1.5422645332346492,0.7546017200839086,0.7798584745303946
22,1579.25,1.6061209277094184,0.7679420294129105,0.8045597045519368
23,1651.090909090909,1.6814009222160602,0.7877120277193383,0.8243723004224378
24,1730.409090909091,1.7436757329475072,0.8060726447154226,0.856599471238133
25,1807.840909090909,1.8125763135498294,0.8370693543029837,0.8732697185622172
26,1904.2954545454545,1.8809646934868767,0.8641095454320769,0.8808523170286552
27,1977.2727272727273,1.95272144168678,0.8718531867980291,0.8963642199983304
28,2058.159090909091,2.023489272957002,0.8864102716263538,0.9133280612778436
29,2139.2272727272725,2.092517770790737,0.9042034147905755,0.9224701974555143
30,2217.25,2.1638293919451637,0.9386606634229192,0.9218742686893701
31,2300.909090909091,2.227435227173857,0.9543596749454156,0.9563469374132132
32,2385.840909090909,2.3000610537744213,0.9739331791458725,0.9877078529214405
33,2457.8863636363635,2.3708569671737227,0.9752649203575893,1.013319772682726
34,2536.7045454545455,2.4328668473003443,0.998055042910111,1.0279264050792978
35,2612.2272727272725,2.5012764136599577,0.9939517031562286,1.0389165816215329
36,2687.7045454545455,2.5688581771388566,1.0205027415748908,1.0480256030633537
37,2778.659090909091,2.631628690367366,1.0300760035211272,1.0460931968367557
