Time,Population,GeneTickets,SocialTickets,LearningTickets
0,227.0625,0.20058173154470113,0.15949785971992125,0.18304280965059605
1,255.1875,0.26077738571903686,0.23166138375312872,0.21596413036940804
2,270.5,0.31986688553865184,0.2762386139082483,0.24105798748940901
3,282.5625,0.37381487408215686,0.33342044701796075,0.2975083143142944
4,303.0625,0.4163874523243008,0.36706307714177505,0.2977387482836316
5,319.9375,0.4678494711193893,0.3996989545132492,0.3431955519430908
6,324.5,0.5155653029239192,0.5055314328640258,0.3953419405783314
7,333.1875,0.5536987139138483,0.5223867348422715,0.4113581033558172
8,348.9375,0.6039932460508287,0.545623911537586,0.4264077908670814
9,350.75,0.6530930762622956,0.5213892108778869,0.4689499747224789
10,372.25,0.691555312949583,0.5481415725071029,0.5172524942744554
11,381.6875,0.7361028983281154,0.6034339257339596,0.5402830570015611
12,396.1875,0.7773144867477845,0.5843086522264102,0.5910885302786043
13,404.3125,0.8108834820016823,0.6256003704667811,0.6356258511584897
14,415.5625,0.8480191247050789,0.618357391530758,0.6381005179829339
15,421.4375,0.8707731556864432,0.6777952469509435,0.6832394173796609
16,428.125,0.9019283478618549,0.7097583960844676,0.7028924894373341
17,446.4375,0.9387902751110923,0.7257668657057278,0.6872096574368528
18,456.4375,0.988319740075995,0.7041549949671899,0.6749428560497028
19,460.375,1.0286506729330087,0.750183497686134,0.691710547803295
20,468.375,1.077888844404471,0.7876357781504002,0.6935689120017655
21,472.25,1.118292279461108,0.8485776690218572,0.7073206967747374
22,467.4375,1.1590566697028946,0.8066835520171696,0.6675923020426933
23,477.5,1.1865869499629982,0.8054768941104891,0.6712378136343392
24,488.8125,1.233115775279966,0.8240381767062089,0.688958269007667
25,485.4375,1.266797462481226,0.8825709071979562,0.7245624524402449
26,501.3125,1.2901481271133168,0.9144803781595557,0.722121375306614
27,501.3125,1.3515843933321419,0.9100147553927022,0.7988306611726551
28,511.8125,1.4164942411552432,0.921215274391524,0.7990001494575654
29,519.5625,1.4553766003437587,0.9616261403938916,0.8927892930302428
30,530.1875,1.5085241987533653,0.9690828357118926,0.903674906270796
31,533.875,1.558986860548813,0.9710379355639626,0.829607303228793
32,540.3125,1.5824298008600046,0.9714403294896605,0.8750343268598645
33,557.9375,1.5921116996305091,0.9318838980967076,0.8840821384666958
34,552.125,1.6510243350356175,0.8939293667832888,0.9059706080947701
35,572.875,1.699220412806658,0.897957585968854,0.8973018921273042
36,572.8125,1.7578462285893934,0.9152453395066329,0.8740746272576582
37,593.4375,1.8063887942257355,0.9058447098932756,0.8712561473368441
38,608.125,1.8287897649095635,0.9305049762426927,0.8633360487580932
39,619,1.8327987990839918,0.8919004352329927,0.9370399854151782
40,610.8125,1.8941426414098315,0.9684462886289442,0.9784863621434257
41,631.6875,1.9278745119082605,0.9375394632093659,0.9661200185629177
42,644.8125,1.9777748052756878,0.9932904341813659,0.9914241933103967
43,650.0625,2.018455434728514,0.9438861318266589,1.041202067487128
44,665.6875,2.0512867136293864,1.0076815546559403,1.0809419051782954
45,675.3125,2.074419557376039,1.0157917200618385,1.0427586297289775
46,676.3125,2.1334700047289306,0.9827018004794912,1.057701967328976
47,685.875,2.1595880651078136,0.9819333230315124,1.044534501947941
48,698.5625,2.2022264586638447,0.9913290708777585,1.0517225431442108
49,696.75,2.238793293981561,1.0537768133733512,1.0351004353222593
50,700.9375,2.2558171704017735,1.0633497063500985,1.0402709883655268
51,707.875,2.31175133020544,1.0957960114981147,1.0520321683667158
52,720.8125,2.3384454839205113,1.1502960807629192,1.0653354250763383
53,735.375,2.379013322540169,1.1321342482652432,1.1170547603035863
54,744.75,2.419494380269093,1.0812732025805083,1.1191808256784193
55,744.75,2.439393128478255,1.067241759845747,1.1697795222499974
56,750.4375,2.4589305377115256,1.0848933183505796,1.1683884032196281
57,767.5625,2.5158652240127743,1.1034981919822033,1.242479914146016
58,774.625,2.5376539764940778,1.0946135785269457,1.2140066144286974
59,776.75,2.5524317029864876,1.1127679383415467,1.244656274655013
60,779.5,2.6000100435651063,1.1034063992122098,1.2685669956730643
61,787.0625,2.6250185221885842,1.1359186971605457,1.2334612407691554
62,794.75,2.6481555356826485,1.1687600078160134,1.246969975198812
63,791.5,2.6806145947014626,1.1869197628536154,1.284002518123817
64,800.8125,2.688508946370011,1.1610126239866314,1.3260518164412016
