metric,timestep,p,cliffs_delta
gene,400,0.4840593081775223,0.08333333333333333
gene,800,0.36161612623128914,0.10850694444444445
gene,1200,0.2896715136565299,0.12586805555555555
gene,1600,0.06219797728163739,0.22135416666666666
gene,2000,0.007901131272074492,0.3151041666666667
gene,2400,0.00216498915673591,0.3637152777777778
gene,2800,0.004026289143264683,0.3411458333333333
gene,3200,0.004120751621384875,0.3402777777777778
gene,3600,0.0016074879707251466,0.3741319444444444
gene,4000,0.0010413344104522571,0.3888888888888889
gene,4400,0.00017819155609484244,0.4444444444444444
gene,4800,5.154353240070396e-05,0.4800347222222222
gene,5200,1.7841003643978468e-05,0.5086805555555556
gene,5600,1.2519908415033107e-06,0.5746527777777778
gene,6000,1.780208559717881e-07,0.6189236111111112
gene,6400,2.3454185305337041e-07,0.6128472222222222
gene,6800,4.316128459062994e-08,0.6493055555555556
gene,7200,3.811157003866803e-08,0.6519097222222222
gene,7600,1.445400461841368e-08,0.671875
gene,8000,6.934990513846604e-09,0.6866319444444444
gene,8400,2.9978429290734552e-09,0.703125
gene,8800,5.29285814963408e-10,0.7361111111111112
gene,9200,1.1586719622289903e-10,0.7638888888888888
gene,9600,5.5804367730412654e-11,0.7769097222222222
gene,10000,3.9522094624596484e-11,0.7829861111111112
gene,10400,6.2715829909726685e-12,0.8146701388888888
gene,10800,1.0323775538513837e-12,0.8446180555555556
gene,11200,5.43111956782113e-13,0.8550347222222222
gene,11600,6.0479754279901e-13,0.8532986111111112
gene,12000,2.6851624632761323e-13,0.8663194444444444
gene,12400,2.6851624632761323e-13,0.8663194444444444
gene,12800,1.0545732573453187e-13,0.8810763888888888
gene,13200,4.079004056757482e-14,0.8958333333333334
gene,13600,1.2354085836824916e-14,0.9140625
gene,14000,6.937949971625591e-15,0.9227430555555556
gene,14400,6.547068805042433e-15,0.9236111111111112
gene,14800,3.251202944334064e-15,0.9340277777777778
gene,15200,2.5702456472743313e-15,0.9375
gene,15600,1.1904459058691859e-15,0.9487847222222222
gene,16000,8.833075444946419e-16,0.953125
gene,16400,7.380358359611755e-16,0.9557291666666666
gene,16800,4.560094901245072e-16,0.9626736111111112
gene,17200,3.1708847749042063e-16,0.9678819444444444
gene,17600,3.3692780656151933e-16,0.9670138888888888
gene,18000,2.808010192485428e-16,0.9696180555555556
gene,18400,1.94760712868985e-16,0.9748263888888888
gene,18800,1.524438045980135e-16,0.9782986111111112
gene,19200,1.2678695130918465e-16,0.9809027777777778
gene,19600,9.909205966239518e-17,0.984375
gene,20000,1.1922028134719673e-16,0.9817708333333334
gene,20400,8.757556776143885e-17,0.9861111111111112
gene,20800,6.424518314386724e-17,0.9904513888888888
gene,21200,5.673650020027243e-17,0.9921875
gene,21600,4.7067692695040906e-17,0.9947916666666666
gene,22000,4.154461649250398e-17,0.9965277777777778
gene,22400,3.6661863979921724e-17,0.9982638888888888
gene,22800,3.6661863979921724e-17,0.9982638888888888
gene,23200,3.443736492888534e-17,0.9991319444444444
gene,23600,3.443736492888534e-17,0.9991319444444444
gene,24000,3.234612555475504e-17,1.0
gene,24400,3.234612555475504e-17,1.0
gene,24800,3.234612555475504e-17,1.0
gene,25200,3.234612555475504e-17,1.0
gene,25600,3.234612555475504e-17,1.0
gene,26000,3.234612555475504e-17,1.0
gene,26400,3.234612555475504e-17,1.0
gene,26800,3.234612555475504e-17,1.0
gene,27200,3.234612555475504e-17,1.0
gene,27600,3.234612555475504e-17,1.0
gene,28000,3.234612555475504e-17,1.0
gene,28400,3.234612555475504e-17,1.0
gene,28800,3.234612555475504e-17,1.0
gene,29200,3.234612555475504e-17,1.0
gene,29600,3.234612555475504e-17,1.0
gene,30000,3.234612555475504e-17,1.0
gene,30400,3.234612555475504e-17,1.0
gene,30800,3.234612555475504e-17,1.0
gene,31200,3.234612555475504e-17,1.0
gene,31600,3.234612555475504e-17,1.0
gene,32000,3.234612555475504e-17,1.0
gene,32400,3.234612555475504e-17,1.0
gene,32800,3.234612555475504e-17,1.0
gene,33200,3.234612555475504e-17,1.0
gene,33600,3.234612555475504e-17,1.0
gene,34000,3.234612555475504e-17,1.0
gene,34400,3.234612555475504e-17,1.0
gene,34800,3.234612555475504e-17,1.0
gene,35200,3.234612555475504e-17,1.0
gene,35600,3.234612555475504e-17,1.0
gene,36000,3.234612555475504e-17,1.0
gene,36400,3.234612555475504e-17,1.0
gene,36800,3.234612555475504e-17,1.0
gene,37200,3.234612555475504e-17,1.0
gene,37600,3.234612555475504e-17,1.0
gene,38000,3.234612555475504e-17,1.0
gene,38400,3.234612555475504e-17,1.0
gene,38800,3.234612555475504e-17,1.0
gene,39200,3.234612555475504e-17,1.0
gene,39600,3.234612555475504e-17,1.0
gene,40000,3.234612555475504e-17,1.0
gene,40400,3.234612555475504e-17,1.0
gene,40800,3.234612555475504e-17,1.0
gene,41200,3.234612555475504e-17,1.0
gene,41600,3.234612555475504e-17,1.0
gene,42000,3.234612555475504e-17,1.0
gene,42400,3.234612555475504e-17,1.0
gene,42800,3.234612555475504e-17,1.0
gene,43200,3.234612555475504e-17,1.0
gene,43600,3.234612555475504e-17,1.0
gene,44000,3.234612555475504e-17,1.0
gene,44400,3.234612555475504e-17,1.0
gene,44800,3.234612555475504e-17,1.0
gene,45200,3.234612555475504e-17,1.0
gene,45600,3.234612555475504e-17,1.0
gene,46000,3.234612555475504e-17,1.0
gene,46400,3.234612555475504e-17,1.0
gene,46800,3.234612555475504e-17,1.0
gene,47200,3.234612555475504e-17,1.0
gene,47600,3.234612555475504e-17,1.0
gene,48000,3.234612555475504e-17,1.0
gene,48400,3.234612555475504e-17,1.0
gene,48800,3.234612555475504e-17,1.0
gene,49200,3.234612555475504e-17,1.0
gene,49600,3.234612555475504e-17,1.0
gene,50000,3.234612555475504e-17,1.0
gene,50400,3.234612555475504e-17,1.0
gene,50800,3.234612555475504e-17,1.0
gene,51200,3.234612555475504e-17,1.0
gene,51600,3.234612555475504e-17,1.0
gene,52000,3.234612555475504e-17,1.0
gene,52400,3.234612555475504e-17,1.0
gene,52800,3.234612555475504e-17,1.0
gene,53200,3.234612555475504e-17,1.0
gene,53600,3.234612555475504e-17,1.0
gene,54000,3.234612555475504e-17,1.0
gene,54400,3.234612555475504e-17,1.0
gene,54800,3.234612555475504e-17,1.0
gene,55200,3.234612555475504e-17,1.0
gene,55600,3.234612555475504e-17,1.0
gene,56000,3.234612555475504e-17,1.0
gene,56400,3.234612555475504e-17,1.0
gene,56800,3.234612555475504e-17,1.0
gene,57200,3.234612555475504e-17,1.0
gene,57600,3.234612555475504e-17,1.0
gene,58000,3.234612555475504e-17,1.0
gene,58400,3.234612555475504e-17,1.0
gene,58800,3.234612555475504e-17,1.0
gene,59200,3.234612555475504e-17,1.0
gene,59600,3.234612555475504e-17,1.0
gene,60000,3.234612555475504e-17,1.0
gene,60400,3.234612555475504e-17,1.0
gene,60800,3.234612555475504e-17,1.0
gene,61200,3.234612555475504e-17,1.0
gene,61600,3.234612555475504e-17,1.0
gene,62000,3.234612555475504e-17,1.0
gene,62400,3.234612555475504e-17,1.0
gene,62800,3.234612555475504e-17,1.0
gene,63200,3.234612555475504e-17,1.0
gene,63600,3.234612555475504e-17,1.0
gene,64000,3.234612555475504e-17,1.0
gene,64400,3.234612555475504e-17,1.0
gene,64800,3.234612555475504e-17,1.0
gene,65200,3.234612555475504e-17,1.0
gene,65600,3.234612555475504e-17,1.0
gene,66000,3.234612555475504e-17,1.0
gene,66400,3.234612555475504e-17,1.0
gene,66800,3.234612555475504e-17,1.0
gene,67200,3.234612555475504e-17,1.0
gene,67600,3.234612555475504e-17,1.0
gene,68000,3.234612555475504e-17,1.0
gene,68400,3.234612555475504e-17,1.0
gene,68800,3.234612555475504e-17,1.0
gene,69200,3.234612555475504e-17,1.0
gene,69600,3.234612555475504e-17,1.0
gene,70000,3.234612555475504e-17,1.0
gene,70400,3.234612555475504e-17,1.0
gene,70800,3.234612555475504e-17,1.0
gene,71200,3.234612555475504e-17,1.0
gene,71600,3.234612555475504e-17,1.0
gene,72000,3.234612555475504e-17,1.0
gene,72400,3.234612555475504e-17,1.0
gene,72800,3.234612555475504e-17,1.0
gene,73200,3.234612555475504e-17,1.0
gene,73600,3.234612555475504e-17,1.0
gene,74000,3.234612555475504e-17,1.0
gene,74400,3.234612555475504e-17,1.0
gene,74800,3.234612555475504e-17,1.0
gene,75200,3.234612555475504e-17,1.0
gene,75600,3.234612555475504e-17,1.0
gene,76000,3.234612555475504e-17,1.0
gene,76400,3.234612555475504e-17,1.0
gene,76800,3.234612555475504e-17,1.0
gene,77200,3.234612555475504e-17,1.0
gene,77600,3.234612555475504e-17,1.0
gene,78000,3.234612555475504e-17,1.0
gene,78400,3.234612555475504e-17,1.0
gene,78800,3.443736492888534e-17,0.9991319444444444
gene,79200,3.443736492888534e-17,0.9991319444444444
gene,79600,3.234612555475504e-17,1.0
gene,80000,3.234612555475504e-17,1.0
gene,80400,3.234612555475504e-17,1.0
gene,80800,3.234612555475504e-17,1.0
gene,81200,3.234612555475504e-17,1.0
